domain,topic,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
Java Basics,Class Structure,What is the minimum requirement for a Java source file to compile and run successfully?,It must contain a public class with a main method.,It must contain a class with a main method.,It must contain a public static void main(String[] args) method.,It must contain at least one class definition.,It must have a package declaration.,B,"A Java source file only needs to contain a class with a main method to compile and run. The class does not necessarily have to be public, nor does it need a package declaration if it's in the default package. While the main method signature public static void main(String[] args) is specific, the question asks for the minimum requirement for the file itself. A file with a non-public class containing a main method can be compiled and run."
Java Basics,Main Method,Given the code: public class Test { public static long main(String[] args) { System.out.println(""Hello""); return 10L; } } What will be the outcome when this code is executed?,Hello,It will not print anything.,It will not compile.,It will throw an Error at runtime.,None of the above.,D,"The Java Virtual Machine (JVM) specifically looks for a main() method with the signature public static void main(String[] args). The main() method in the given code has a return type of long instead of void. Because the JVM cannot find the expected main method signature, it will throw a NoSuchMethodError at runtime."
Working With Java Data Types,Variable Initialization,What is the default value for an uninitialized instance variable of type double?,0,0.0,null,undefined,It depends on the JVM.,B,"Instance variables (fields) in Java are automatically initialized to their default values if not explicitly assigned. For numeric primitive types like double, the default value is 0.0. For int it's 0, for boolean it's false, and for object references it's null."
Working With Java Data Types,Wrapper Classes,Which of the following statements will print true when executed?,System.out.println(Boolean.parseBoolean(""true""));,System.out.println(new Boolean(null));,System.out.println(new Boolean());,System.out.println(new Boolean(""True""));,System.out.println(new Boolean(""FALSE""));,A,"Boolean.parseBoolean(String) returns a primitive boolean. It returns true if the string is ""true"" (ignoring case). new Boolean(null) creates a Boolean object representing false. new Boolean() causes a compile-time error as there is no no-argument constructor for Boolean. new Boolean(""True"") creates a Boolean object representing true, so this would also print true. new Boolean(""FALSE"") creates a Boolean object representing false. Since the question asks for statements that will print true, option A is the correct choice."
Working With Java Data Types,Object Lifecycle,How many objects are created by the time the main method finishes in the following code? public class Creator { public Creator() { try { throw new Exception(); } catch (Exception e) {} } public static void main(String[] args) { Creator c1 = new Creator(); Creator c2 = new Creator(); Creator c3 = c1; } },2,3,4,5,6,C,"Let's trace object creation: 1. Creator c1 = new Creator(); creates one Creator object. Inside its constructor, new Exception() creates one Exception object. (Total: 2 objects). 2. Creator c2 = new Creator(); creates another Creator object. Inside its constructor, another Exception object is created. (Total: 2 more objects). 3. Creator c3 = c1; only creates a new reference c3 and points it to the existing c1 object. No new object is created. Total objects created: 2 + 2 = 4."
Using Operators and Decision Constructs,Operator Precedence,What is the final value of result? int x = 5; int y = 10; int z = 15; boolean result = x < y && y < z || z > x;,true,false,Compilation error,Runtime error,Depends on JVM,A,"The expression x < y && y < z || z > x evaluates as follows: 1. x < y (5 < 10) is true. 2. y < z (10 < 15) is true. 3. z > x (15 > 5) is true. 4. true && true (due to && having higher precedence than ||) evaluates to true. 5. true || true evaluates to true. So, result is true."
Using Operators and Decision Constructs,Ternary Operator,What will be printed by the following code? int a = 10; int b = 20; String s = (a > b)? ""A is greater"" : (a < b)? ""B is greater"" : ""A and B are equal""; System.out.println(s);,A is greater,B is greater,A and B are equal,Compilation error,Runtime error,B,"The ternary operator condition? value_if_true : value_if_false is evaluated. First, (a > b) which is (10 > 20) is false. So, it evaluates the second part: (a < b)? ""B is greater"" : ""A and B are equal"". Here, (a < b) which is (10 < 20) is true. So, it returns ""B is greater"". The output is ""B is greater""."
Using Operators and Decision Constructs,Switch Statement,What is the output of the following code? public class Test { public static void main(String[] args) { int day = 2; switch (day) { case 1: System.out.print(""Monday""); case 2: System.out.print(""Tuesday""); case 3: System.out.print(""Wednesday""); default: System.out.print(""Invalid""); } } },Tuesday,TuesdayWednesday,TuesdayWednesdayInvalid,Compilation error,Runtime error,C,"The switch statement starts execution at the matching case label. Since day is 2, it starts at case 2, printing ""Tuesday"". Because there is no break statement after case 2, execution ""falls through"" to case 3, printing ""Wednesday"". It then falls through to default, printing ""Invalid"". The combined output is ""TuesdayWednesdayInvalid""."
Using Operators and Decision Constructs,Equality Operators,What will the following code print? String s1 = ""Java""; String s2 = new String(""Java""); System.out.println(s1 == s2); System.out.println(s1.equals(s2));,true true,false false,true false,false true,Compilation error,D,"The == operator compares object references. s1 refers to a String literal ""Java"" in the String pool, while s2 refers to a new String object created on the heap. They are different objects, so s1 == s2 is false. The equals() method for String objects compares their content. Since both s1 and s2 contain the same sequence of characters ""Java"", s1.equals(s2) is true. Thus, the output is false followed by true."
Creating and Using Arrays,Array Declaration,Which of the following array declarations are valid?,int[] numbers = new int[5];,int[] numbers = new int[5];,int[] numbers = {1, 2, 3};,int[] numbers; numbers = new int[5];,All of the above.,E,"All listed options are valid ways to declare and/or initialize arrays in Java. Options A and B show two common syntaxes for declaring array variables (int[] numbers or int numbers[]). Option C shows array initialization with an initializer list. Option D shows declaration and instantiation in separate steps. All are syntactically correct."
